systemId,Code,Quantity,Amount,Sale Date,Transaction ID
2355,9528,40,260.400000000,2022-03-11,382900
2355,9549,44,373.560000000,2022-03-11,382900
21918,815,4,517.800000000,2022-03-11,382968
25433,9549,22,186.780000000,2022-03-11,382858
19122,1120,24,432.000000000,2022-03-11,383094
18402,1120,24,432.000000000,2022-03-11,383157
18074,1120,24,432.000000000,2022-03-11,382974
18753,1057,8,245.040000000,2022-03-11,382931
6481,1112,20,157.000000000,2022-03-11,383086
6481,1117,18,232.920000000,2022-03-11,383086
6481,9527,16,158.880000000,2022-03-11,383086
6481,9549,22,187.000000000,2022-03-11,383086
18393,9525,120,1308.000000000,2022-03-11,383033
24813,594,18,563.400000000,2022-03-11,382955
24813,850,2,83.160000000,2022-03-11,382955
24813,1135,1,47.010000000,2022-03-11,382955
21427,1058,1,27.600000000,2022-03-11,383184
21427,9337,6,145.920000000,2022-03-11,383184
24825,594,6,187.800000000,2022-03-11,382929
12769,1057,3,98.550000000,2022-03-11,383187
12769,1058,2,58.100000000,2022-03-11,383187
12769,9574,3,177.330000000,2022-03-11,383187
26073,1072,6,338.100000000,2022-03-11,382925
20513,1120,20,392.000000000,2022-03-11,382962
12142,594,6,174.180000000,2022-03-11,382896
21337,850,3,124.740000000,2022-03-11,382957
8201,1054,8,372.480000000,2022-03-11,383138
15322,9525,12,133.320000000,2022-03-11,382942
24220,594,6,172.980000000,2022-03-11,383097
20342,9525,12,125.400000000,2022-03-11,383126
26755,9525,12,126.600000000,2022-03-11,383128
2349,1112,20,157.000000000,2022-03-11,383070
2349,1120,10,193.900000000,2022-03-11,383070
2349,9525,12,135.240000000,2022-03-11,383070
2349,9527,16,160.480000000,2022-03-11,383070
2349,9549,22,187.000000000,2022-03-11,383070
2349,9550,22,187.000000000,2022-03-11,383070
21509,9525,12,0.000000000,2022-03-11,383170
21509,9525,120,1333.200000000,2022-03-11,383161
21023,850,12,498.960000000,2022-03-11,383031
21853,614,2,406.440000000,2022-03-11,383021
25998,1057,8,262.800000000,2022-03-11,382973
14015,594,12,444.600000000,2022-03-11,383043
26428,1081,30,1181.400000000,2022-03-11,383154
11208,1095,18,698.400000000,2022-03-11,383089
23869,1120,10,179.100000000,2022-03-11,382996
23869,9525,24,293.520000000,2022-03-11,382996
23869,9527,16,216.000000000,2022-03-11,382996
23869,9549,22,174.900000000,2022-03-11,382996
23870,1117,18,232.020000000,2022-03-11,383002
23870,1120,10,179.100000000,2022-03-11,383002
23870,9524,20,144.000000000,2022-03-11,383002
23870,9525,12,146.760000000,2022-03-11,383002
23870,9527,16,216.000000000,2022-03-11,383002
23870,9549,22,174.900000000,2022-03-11,383002
16054,1095,60,1978.200000000,2022-03-11,383060
23955,1120,20,387.600000000,2022-03-11,382869
23955,9525,60,666.600000000,2022-03-11,382869
22641,9549,22,186.780000000,2022-03-11,383079
22641,9576,6,142.740000000,2022-03-11,383079
19820,1095,6,232.920000000,2022-03-11,382991
23081,1081,12,472.560000000,2022-03-11,382848
9840,1116,198,2227.500000000,2022-03-11,383201
19652,9527,32,317.760000000,2022-03-11,383104
15855,9525,24,266.640000000,2022-03-11,383165
12361,1057,6,197.100000000,2022-03-11,383146
18501,1120,10,185.200000000,2022-03-11,382886
25068,9524,20,156.200000000,2022-03-11,382907
10414,9524,40,252.800000000,2022-03-11,382867
10414,9525,120,1273.200000000,2022-03-11,382867
10414,9528,40,248.800000000,2022-03-11,382867
19897,1120,24,465.120000000,2022-03-11,383092
19897,9549,44,373.560000000,2022-03-11,383092
16948,594,6,179.460000000,2022-03-11,383082
26545,1057,8,245.120000000,2022-03-11,382958
7317,594,6,179.460000000,2022-03-11,383081
23167,1058,1,27.500000000,2022-03-11,383053
18461,9524,20,132.200000000,2022-03-11,382855
18461,9525,12,133.320000000,2022-03-11,382855
6643,9337,6,149.220000000,2022-03-11,382956
22434,9549,22,186.780000000,2022-03-11,382887
16811,9527,6,59.580000000,2022-03-11,382964
18493,9525,24,258.480000000,2022-03-11,383066
27163,1120,50,900.000000000,2022-03-11,382910
23478,9527,1,12.850000000,2022-03-11,383106
20890,1081,12,472.560000000,2022-03-11,382876
21748,1120,100,1700.000000000,2022-03-11,383150
21748,1120,10,0.000000000,2022-03-11,383152
26237,1117,18,232.560000000,2022-03-11,382851
26237,1120,20,387.600000000,2022-03-11,382851
26237,9525,24,266.640000000,2022-03-11,382851
26237,9527,16,158.880000000,2022-03-11,382851
21144,9524,20,132.200000000,2022-03-11,382883
21144,9527,16,158.880000000,2022-03-11,382883
21144,1116,18,202.500000000,2022-03-11,383036
21144,9550,22,172.260000000,2022-03-11,383036
25551,594,6,184.500000000,2022-03-11,383119
17096,594,12,369.000000000,2022-03-11,383121
5632,614,1,244.000000000,2022-03-11,382894
5632,1057,32,1079.680000000,2022-03-11,382894
26357,1095,6,238.500000000,2022-03-11,382935
19964,9524,20,156.200000000,2022-03-11,382971
26665,9524,20,132.200000000,2022-03-11,383133
26665,9527,16,146.880000000,2022-03-11,383133
6797,594,12,345.960000000,2022-03-11,383105
